route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
146_1,1,702,Serafina - Cç. Mestres,,3,,,
174_0,1,796,Galinheiras - Campo Grande (Metro),,3,,,
245_0,1,19B,Campo Mártires Pátria,,3,,,
167_0,1,753,Pç. José Fontana - Centro Sul,,3,,,
167_4,1,753,Marquês Pombal - Portagem (Cristo-Rei),,3,,,
159_0,1,52E,Rua Câmara Pestana - Largo da Anunciada,,3,,,
145_0,1,793,Marvila - Estação Roma-Areeiro,,3,,,
78_0,1,18E,Cais Sodré - Cemitério Ajuda,,3,,,
236_0,1,22B,Cais Sodré,,3,,,
242_0,1,10B,Campo Cebolas,,3,,,
62_0,1,203,Xabregas - Restelo,,3,,,
194_0,1,798,Campo Grande-Metro - Galinheiras,,3,,,
61_1,1,202,Estação Benfica - Pontinha (Metro),,3,,,
194_3,1,798,Saldanha - Pç. D. António Ribeiro,,3,,,
219_0,1,76B,Boa-Hora,,3,,,
103_5,1,727,Mq. Pombal - R. Braamcamp - R. Esperança (Museu Marioneta),,3,,,
103_4,1,727,B. S. Miguel - Av. Roma - R. Esperança (Museu Marioneta),,3,,,
103_3,1,727,Belém - Igreja Memória,,3,,,
103_2,1,727,Mq. Pombal - Av. Fontes P. Melo - Igreja Memória,,3,,,
103_1,1,727,Mq. Pombal - R. Braamcamp - Igreja Memória,,3,,,
103_0,1,727,Restelo - Estação Roma-Areeiro,,3,,,
176_0,1,705,Estação Roma-Areeiro - Estação Oriente,,3,,,
243_0,1,13B,Sapadores,,3,,,
161_0,1,54E,Lg. Carmo - R. Ouro,,3,,,
147_3,1,706,Pç. Chile / Av. Almirante Reis - Vale Escuro,,3,,,
147_1,1,706,Alameda D. A. Henriques - Vale Escuro,,3,,,
147_0,1,706,Estação Sta. Apolónia - Cais Sodré,,3,,,
175_0,1,756,Olaias - Junqueira,,3,,,
175_3,1,756,Av. João XXI / Pç. Londres - Calvário,,3,,,
240_0,1,55B,Carnide,,3,,,
196_0,1,722,Restauradores - Portela,,3,,,
136_0,1,206,Odivelas - Cais Sodré,,3,,,
170_4,1,717,Campo Grande (Metro) - Pç. D. António Ribeiro,,3,,,
