route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
106_0,Inverno_Sabado_20240408,6293_20240408_106_0_6,,,1,,106_0_DESC_shp,,
106_0,Inverno_Sabado_20240408,6293_20240408_106_0_7,,,0,,106_0_ASC_shp,,
106_0,Inverno_Sabado_20240408,6293_20240408_106_0_4,,,1,,106_0_DESC_shp,,
106_0,Inverno_Sabado_20240408,6293_20240408_106_0_5,,,0,,106_0_ASC_shp,,
150_0,Inverno_Util_20240408,19409_20240408_150_0_8,,,1,,150_0_DESC_shp,,
112_1,Inverno_DomingoFeriado_20240408,7200_20240408_112_1_16,,,1,,112_1_DESC_shp,,
100_0,Inverno_Sabado_20240408,3284_20240408_100_0_11,,,1,,100_0_DESC_shp,,
76_0,Inverno_DomingoFeriado_20240408,11240_20240408_76_0_13,,,0,,76_0_ASC_shp,,
150_0,Inverno_Util_20240408,6837_20240408_150_0_2,,,1,,150_0_DESC_shp,,
118_0,Inverno_DomingoFeriado_20240408,17668_20240408_118_0_6,,,0,,118_0_ASC_shp,,
150_0,Inverno_Util_20240408,6837_20240408_150_0_3,,,0,,150_0_ASC_shp,,
109_0,Inverno_Sabado_20240408,6451_20240408_109_0_18,,,1,,109_0_DESC_shp,,
109_0,Inverno_Sabado_20240408,6451_20240408_109_0_28,,,1,,109_0_DESC_shp,,
102_0,Inverno_Sabado_20240408,3635_20240408_102_0_3,,,0,,102_0_ASC_shp,,
102_0,Inverno_Sabado_20240408,3635_20240408_102_0_2,,,1,,102_0_DESC_shp,,
102_0,Inverno_Sabado_20240408,3635_20240408_102_0_5,,,0,,102_0_ASC_shp,,
103_2,Inverno_Sabado_20240408,4468_20240408_103_2_9,,,1,,103_2_DESC_shp,,
102_0,Inverno_Sabado_20240408,3635_20240408_102_0_4,,,1,,102_0_DESC_shp,,
102_0,Inverno_Sabado_20240408,3635_20240408_102_0_7,,,0,,102_0_ASC_shp,,
102_0,Inverno_Sabado_20240408,3635_20240408_102_0_6,,,1,,102_0_DESC_shp,,
102_0,Inverno_Sabado_20240408,3635_20240408_102_0_9,,,0,,102_0_ASC_shp,,
209_0,Inverno_Sabado_20240408,17525_20240408_209_0_2,,,0,,209_0_CIRC_shp,,
